repo,topic,filename,bytes,tag,url
Lymphatus/caesium-image-compressor,compression,caesium-image-compressor-2.8.5-win-setup.exe,22187863,v2.8.5,https://github.com/Lymphatus/caesium-image-compressor/releases/download/v2.8.5/caesium-image-compressor-2.8.5-win-setup.exe
dropbox/lepton,compression,lepton-avx.exe,792064,1.2,https://github.com/dropbox/lepton/releases/download/1.2/lepton-avx.exe
subhra74/xdm,media-converter,xdmsetup.msi,57081683,7.2.11,https://github.com/subhra74/xdm/releases/download/7.2.11/xdmsetup.msi
66HEX/frame,media-converter,Frame-x86_64.exe,83889877,0.33.0,https://github.com/66HEX/frame/releases/download/0.33.0/Frame-x86_64.exe
opencv/opencv,image-processing,opencv-5.0.0-windows.exe,195273354,5.0.0,https://github.com/opencv/opencv/releases/download/5.0.0/opencv-5.0.0-windows.exe
danielgatis/rembg,image-processing,rembg-cli-cpu-installer.exe,118802831,v2.0.80,https://github.com/danielgatis/rembg/releases/download/v2.0.80/rembg-cli-cpu-installer.exe
CyberTimon/RapidRAW,image-processing,01_RapidRAW_v1.6.1_windows_x64.msi,34054144,v1.6.1,https://github.com/CyberTimon/RapidRAW/releases/download/v1.6.1/01_RapidRAW_v1.6.1_windows_x64.msi
KSXGitHub/parallel-disk-usage,disk-usage,pdu-x86_64-pc-windows-gnu.exe,4427818,0.24.0,https://github.com/KSXGitHub/parallel-disk-usage/releases/download/0.24.0/pdu-x86_64-pc-windows-gnu.exe
leandrosa81/taskbar-monitor,disk-usage,TaskbarMonitorInstaller.exe,3046912,v0.5.4,https://github.com/leandrosa81/taskbar-monitor/releases/download/v0.5.4/TaskbarMonitorInstaller.exe
Prithvi-Web/TreeMap-Disk-Visualizer,disk-usage,TreeMap.Setup.3.1.0.exe,105216186,v3.1.0,https://github.com/Prithvi-Web/TreeMap-Disk-Visualizer/releases/download/v3.1.0/TreeMap.Setup.3.1.0.exe
txthinking/brook,encryption,brook_windows_amd64.exe,31089664,v20260101.0,https://github.com/txthinking/brook/releases/download/v20260101.0/brook_windows_amd64.exe
Picocrypt/Picocrypt,file-encryption,Installer.exe,7695016,1.49,https://github.com/Picocrypt/Picocrypt/releases/download/1.49/Installer.exe
eljojo/rememory,file-encryption,rememory-windows-amd64.exe,65044480,v0.0.21,https://github.com/eljojo/rememory/releases/download/v0.0.21/rememory-windows-amd64.exe
Ruben2776/PicView,batch-processing,Setup-PicView-v5.0.4-win-x64.exe,29821272,5.0.4,https://github.com/Ruben2776/PicView/releases/download/5.0.4/Setup-PicView-v5.0.4-win-x64.exe
alessandrofrancesconi/gimp-plugin-bimp,batch-processing,gimp-plugin-bimp_win32.exe,447172,v2.6,https://github.com/alessandrofrancesconi/gimp-plugin-bimp/releases/download/v2.6/gimp-plugin-bimp_win32.exe
JacobDev1/xl-converter,batch-processing,xl-converter-win-1.2.3-x86_64.exe,62563214,v1.2.3,https://github.com/JacobDev1/xl-converter/releases/download/v1.2.3/xl-converter-win-1.2.3-x86_64.exe
bvn-architecture/RevitBatchProcessor,batch-processing,RevitBatchProcessorSetup_v1.12.1.exe,58995941,v1.12.1,https://github.com/bvn-architecture/RevitBatchProcessor/releases/download/v1.12.1/RevitBatchProcessorSetup_v1.12.1.exe
Azure/batch-shipyard,batch-processing,batch-shipyard-3.9.1-cli-win-amd64.exe,25374936,3.9.1,https://github.com/Azure/batch-shipyard/releases/download/3.9.1/batch-shipyard-3.9.1-cli-win-amd64.exe
tonyantony300/dashbeam,file-transfer,DashBeam_0.6.2_x64_en-US.msi,15204352,v0.6.2,https://github.com/tonyantony300/dashbeam/releases/download/v0.6.2/DashBeam_0.6.2_x64_en-US.msi
spieglt/FlyingCarpet,file-transfer,FlyingCarpet_10.0.0.exe,12691968,v10.0.0,https://github.com/spieglt/FlyingCarpet/releases/download/v10.0.0/FlyingCarpet_10.0.0.exe
denislupookov/altersend,file-transfer,AlterSend-1.8.0.Setup.exe,207527336,v1.8.0,https://github.com/denislupookov/altersend/releases/download/v1.8.0/AlterSend-1.8.0.Setup.exe
psanford/wormhole-william,file-transfer,wormhole-william-windows-amd64.exe,14108160,v1.0.8,https://github.com/psanford/wormhole-william/releases/download/v1.0.8/wormhole-william-windows-amd64.exe
abdularis/LAN-Share,file-transfer,LANShare_1.2.1_setup-win64.exe,6243729,1.2.1,https://github.com/abdularis/LAN-Share/releases/download/1.2.1/LANShare_1.2.1_setup-win64.exe
threatexpert/gonc,file-transfer,gonc.exe,13033472,v2.6.9,https://github.com/threatexpert/gonc/releases/download/v2.6.9/gonc.exe
Eul45/omni-search,file-transfer,omnisearchlitesetup.exe,14773656,v0.1.16,https://github.com/Eul45/omni-search/releases/download/v0.1.16/omnisearchlitesetup.exe
alley-rs/fluxy,file-transfer,fluxy_0.1.17_x64_en-US.msi,3145728,v0.1.17,https://github.com/alley-rs/fluxy/releases/download/v0.1.17/fluxy_0.1.17_x64_en-US.msi
picturama/picturama,photo-manager,Picturama.Setup.1.3.1.exe,75185061,v1.3.0,https://github.com/picturama/picturama/releases/download/v1.3.0/Picturama.Setup.1.3.1.exe
lyswhut/lx-music-desktop,music-player,lx-music-desktop-v2.12.2-x64-Setup.exe,107044670,v2.12.2,https://github.com/lyswhut/lx-music-desktop/releases/download/v2.12.2/lx-music-desktop-v2.12.2-x64-Setup.exe
KRTirtho/spotube,music-player,Spotube-windows-x86_64-setup.exe,38294732,v5.1.2,https://github.com/KRTirtho/spotube/releases/download/v5.1.2/Spotube-windows-x86_64-setup.exe
qier222/YesPlayMusic,music-player,YesPlayMusic-Setup-0.4.10.exe,58241662,v0.4.10,https://github.com/qier222/YesPlayMusic/releases/download/v0.4.10/YesPlayMusic-Setup-0.4.10.exe
pear-devs/pear-desktop,music-player,YouTube-Music-Web-Setup-3.12.0.exe,681336,v3.12.0,https://github.com/pear-devs/pear-desktop/releases/download/v3.12.0/YouTube-Music-Web-Setup-3.12.0.exe
nukeop/nuclear,music-player,Nuclear_1.47.1_x64_en-US.msi,19345408,player@1.47.1,https://github.com/nukeop/nuclear/releases/download/player%401.47.1/Nuclear_1.47.1_x64_en-US.msi
algerkong/AlgerMusicPlayer,music-player,AlgerMusicPlayer-5.1.0-win-x64.exe,119026696,v5.1.0,https://github.com/algerkong/AlgerMusicPlayer/releases/download/v5.1.0/AlgerMusicPlayer-5.1.0-win-x64.exe
listen1/listen1_desktop,music-player,listen1_2.33.0_win.exe,241760865,v2.33.0,https://github.com/listen1/listen1_desktop/releases/download/v2.33.0/listen1_2.33.0_win.exe
jeffvli/feishin,music-player,Feishin-1.15.1-win-x64.exe,170102424,v1.15.1,https://github.com/jeffvli/feishin/releases/download/v1.15.1/Feishin-1.15.1-win-x64.exe
maotoumao/MusicFreeDesktop,music-player,MusicFree-0.0.8-win32-x64-setup.exe,89290769,v0.0.8,https://github.com/maotoumao/MusicFreeDesktop/releases/download/v0.0.8/MusicFree-0.0.8-win32-x64-setup.exe
SPlayer-Dev/SPlayer,music-player,SPlayer-3.1.1-x64-setup.exe,130907638,v3.1.1,https://github.com/SPlayer-Dev/SPlayer/releases/download/v3.1.1/SPlayer-3.1.1-x64-setup.exe
ytmdesktop/ytmdesktop,music-player,YouTube.Music.Desktop.App-2.0.11.Setup.exe,137537024,v2.0.11,https://github.com/ytmdesktop/ytmdesktop/releases/download/v2.0.11/YouTube.Music.Desktop.App-2.0.11.Setup.exe
namidaco/namida,music-player,Namida-x86_64-6.0.1-Installer.exe,52797818,v6.0.1,https://github.com/namidaco/namida/releases/download/v6.0.1/Namida-x86_64-6.0.1-Installer.exe
mpvnet-player/mpv.net,music-player,mpv.net-v7.1.2.0-setup-x64.exe,38021649,v7.1.2.0,https://github.com/mpvnet-player/mpv.net/releases/download/v7.1.2.0/mpv.net-v7.1.2.0-setup-x64.exe
koodo-reader/koodo-reader,ebook,Koodo-Reader-2.4.3-x64.exe,106947090,v2.4.3,https://github.com/koodo-reader/koodo-reader/releases/download/v2.4.3/Koodo-Reader-2.4.3-x64.exe
readest/readest,ebook,Readest_0.12.1_x64-setup.exe,63378433,v0.12.1,https://github.com/readest/readest/releases/download/v0.12.1/Readest_0.12.1_x64-setup.exe
janeczku/calibre-web,ebook,Calibre-Web-V0627.exe,50498839,0.6.27,https://github.com/janeczku/calibre-web/releases/download/0.6.27/Calibre-Web-V0627.exe
kanasimi/work_crawler,ebook,work_crawler-Setup-2.13.0.exe,123693886,v2.13.0,https://github.com/kanasimi/work_crawler/releases/download/v2.13.0/work_crawler-Setup-2.13.0.exe
xournalpp/xournalpp,pdf,xournalpp-1.3.7-windows-setup-AMD64.exe,96945338,v1.3.7,https://github.com/xournalpp/xournalpp/releases/download/v1.3.7/xournalpp-1.3.7-windows-setup-AMD64.exe
ohhsodead/FileMasta,indexing,FileMasta.Installer.Windows.exe,1284997,0.4.6.0,https://github.com/ohhsodead/FileMasta/releases/download/0.4.6.0/FileMasta.Installer.Windows.exe
meilisearch/meilisearch,search-engine,meilisearch-enterprise-windows-amd64.exe,130242048,v1.53.1,https://github.com/meilisearch/meilisearch/releases/download/v1.53.1/meilisearch-enterprise-windows-amd64.exe
zed-industries/zed,text-editor,Zed-x86_64.exe,92382528,v1.15.0,https://github.com/zed-industries/zed/releases/download/v1.15.0/Zed-x86_64.exe
lapce/lapce,text-editor,Lapce-windows.msi,20393984,v0.4.6,https://github.com/lapce/lapce/releases/download/v0.4.6/Lapce-windows.msi
onivim/oni,text-editor,Oni-0.3.9-win.exe,97185263,v0.3.9,https://github.com/onivim/oni/releases/download/v0.3.9/Oni-0.3.9-win.exe
sinelaw/fresh,text-editor,fresh-gui-x86_64-pc-windows-msvc.exe,39597568,v0.4.9,https://github.com/sinelaw/fresh/releases/download/v0.4.9/fresh-gui-x86_64-pc-windows-msvc.exe
lite-xl/lite-xl,text-editor,LiteXL-v2.1.8-addons-x86_64-setup.exe,3761955,v2.1.8,https://github.com/lite-xl/lite-xl/releases/download/v2.1.8/LiteXL-v2.1.8-addons-x86_64-setup.exe
geany/geany,text-editor,geany-2.1_setup_unsigned.exe,28220849,2.1.0,https://github.com/geany/geany/releases/download/2.1.0/geany-2.1_setup_unsigned.exe
vkbo/novelWriter,text-editor,novelwriter-26.1.2-amd64-setup.exe,104104688,v26.1.2,https://github.com/vkbo/novelWriter/releases/download/v26.1.2/novelwriter-26.1.2-amd64-setup.exe
athasdev/athas,text-editor,Athas_0.11.0_x64_en-US.msi,37150397,v0.11.0,https://github.com/athasdev/athas/releases/download/v0.11.0/Athas_0.11.0_x64_en-US.msi
stablyai/orca,ide,orca-windows-setup.exe,187657232,v1.4.184,https://github.com/stablyai/orca/releases/download/v1.4.184/orca-windows-setup.exe
onlook-dev/onlook,ide,Onlook-setup.exe,175923592,v0.2.32,https://github.com/onlook-dev/onlook/releases/download/v0.2.32/Onlook-setup.exe
loft-sh/devpod,ide,devpod-windows-amd64.exe,87979072,v0.6.15,https://github.com/loft-sh/devpod/releases/download/v0.6.15/devpod-windows-amd64.exe
coder/coder,ide,coder_2.35.3_windows_amd64_installer.exe,162613712,v2.35.3,https://github.com/coder/coder/releases/download/v2.35.3/coder_2.35.3_windows_amd64_installer.exe
graphql/graphql-playground,ide,graphql-playground-electron-setup-1.8.10.exe,55091898,v1.8.10,https://github.com/graphql/graphql-playground/releases/download/v1.8.10/graphql-playground-electron-setup-1.8.10.exe
hiroi-sora/Umi-OCR,screenshot,Umi-OCR_Paddle_v2.1.5.7z.exe,134293725,v2.1.5,https://github.com/hiroi-sora/Umi-OCR/releases/download/v2.1.5/Umi-OCR_Paddle_v2.1.5.7z.exe
MathewSachin/Captura,screenshot,Captura-Setup.exe,2572408,v8.0.0,https://github.com/MathewSachin/Captura/releases/download/v8.0.0/Captura-Setup.exe
